Date,Adj Close,Close,High,Low,Open,Volume
02/01/2015,529.5499878,529.5499878,535.7999878,527.8800049,532.5999756,1324000
05/01/2015,519.460022,519.460022,527.9899902,517.75,527.1500244,2059100
06/01/2015,506.6400146,506.6400146,521.210022,505.5499878,520.5,2722800
07/01/2015,505.1499939,505.1499939,511.4899902,503.6499939,510.9500122,2345900
08/01/2015,506.9100037,506.9100037,507.5,495.019989,501.5100098,3652700
09/01/2015,500.7200012,500.7200012,508.6000061,498.6499939,508.1799927,2100000
12/01/2015,497.0599976,497.0599976,500.2799988,490.9100037,499.2399902,2856900
13/01/2015,501.7999878,501.7999878,508.6000061,497.2600098,502.5700073,3047900
14/01/2015,505.9299927,505.9299927,508.2600098,498.1600037,500.4200134,2640000
15/01/2015,504.0100098,504.0100098,509.75,502.0100098,508.8900146,2553400
16/01/2015,510.4599915,510.4599915,510.8500061,503.0899963,503.1499939,2482900
20/01/2015,509.9400024,509.9400024,515.6099854,509.3699951,512.7700195,2339800
21/01/2015,520.3900146,520.3900146,521.8499756,509.5899963,510.8399963,2317800
22/01/2015,537.2999878,537.2999878,538.8400269,521.9099731,523,2803400
23/01/2015,541.9500122,541.9500122,545.4099731,535.75,538.0300293,2298300
26/01/2015,536.7199707,536.7199707,541.5,532.0700073,541.5,1546600
27/01/2015,521.1900024,521.1900024,532.7800293,520.8599854,531.4000244,1957400
28/01/2015,512.4299927,512.4299927,525.6900024,512.3499756,525,1791100
29/01/2015,513.2299805,513.2299805,515.1900024,503.480011,512.9000244,3950900
30/01/2015,537.5499878,537.5499878,543.0999756,518.1799927,519,6055400
02/02/2015,532.2000122,532.2000122,536.5,521.7199707,534.3200073,3768900
03/02/2015,533.2999878,533.2999878,537.4500122,526.8099976,529.9400024,2353100
04/02/2015,526.0999756,526.0999756,536.75,525.0300293,533.1400146,1694800
05/02/2015,529.8300171,529.8300171,530.6900024,525.6400146,527.9299927,1658800
06/02/2015,533.8800049,533.8800049,540.2199707,528.6500244,531.0100098,2146900
09/02/2015,529.2800293,529.2800293,533.8800049,527.5499878,531.0599976,1515700
10/02/2015,540.1599731,540.1599731,541,529.1699829,532.1500244,2371500
11/02/2015,538,538,541.9500122,536,539.7299805,1915300
12/02/2015,546.0100098,546.0100098,548.3400269,537,539.6599731,2429500
13/02/2015,551.1599731,551.1599731,552.539978,546.5999756,547.5100098,2369100
17/02/2015,545.0100098,545.0100098,553,543.2600098,551.1599731,1958700
18/02/2015,542.6500244,542.6500244,547.5499878,539.5499878,543.8200073,1558200
19/02/2015,546.4500122,546.4500122,546.8599854,540.75,542.4699707,1541700
20/02/2015,541.7999878,541.7999878,547.5800171,538.0999756,547.5800171,1911700
23/02/2015,535,535,539.2999878,532,539,1645300
24/02/2015,538.6500244,538.6500244,539.4000244,531,531.5499878,1420300
25/02/2015,547.3300171,547.3300171,549.5700073,538.0100098,538.4400024,2041800
26/02/2015,559.289978,559.289978,560.1300049,545.0900269,545.7399902,2701600
27/02/2015,562.6300049,562.6300049,569.4199829,557.0300293,558.1500244,3416400
02/03/2015,575.0200195,575.0200195,575.9899902,563.1500244,567,2520300
03/03/2015,578.789978,578.789978,580.8499756,570.5,576.3499756,2526300
04/03/2015,578.3300171,578.3300171,581.6300049,572.5200195,576.9699707,1898200
05/03/2015,581.4299927,581.4299927,583.2000122,578.2299805,579.6199951,1795900
06/03/2015,572.9000244,572.9000244,582.7800293,572.0599976,582,1879600
09/03/2015,574.0999756,574.0999756,575.4500122,569.0499878,570.9199829,1173900
10/03/2015,559.8499756,559.8499756,569.7600098,559.8200073,568.4799805,2004000
11/03/2015,555.6900024,555.6900024,564.1799927,555.4099731,559.7999878,2026200
12/03/2015,561.1699829,561.1699829,561.8400269,555.5300293,558.4799805,1780100
13/03/2015,553,553,564.3599854,550.3300171,559.2299805,1771400
16/03/2015,561.6400146,561.6400146,563.75,551.3200073,556.9299927,1842800
17/03/2015,557.6099854,557.6099854,560.6400146,554.4099731,558.289978,1444600
18/03/2015,566.1599731,566.1599731,566.5100098,553.5,557.7299805,1766200
19/03/2015,563.6699829,563.6699829,566.960022,562.1199951,564.5200195,1233000
20/03/2015,564.9500122,564.9500122,567.0999756,564.4799805,566.710022,2216000
23/03/2015,565.3699951,565.3699951,569.6400146,563.0599976,566,1511700
24/03/2015,577.539978,577.539978,581.8800049,568.0900269,568.539978,3957800
25/03/2015,567,567,580.0700073,567,577.5700073,2653500
26/03/2015,563.6400146,563.6400146,567.1900024,558.3099976,564.6500244,2492100
27/03/2015,557.5499878,557.5499878,564.0700073,556.9299927,561.8300171,1727600
30/03/2015,561.1400146,561.1400146,562.1599731,556.789978,560.25,1239400
31/03/2015,554.7000122,554.7000122,562.4500122,554.6699829,557.9400024,1746600
01/04/2015,549.4899902,549.4899902,558.5,546.0300293,554.8300171,1945100
02/04/2015,541.3099976,541.3099976,548,540.4400024,547.4099731,2388000
06/04/2015,543.9500122,543.9500122,545.539978,535.7000122,538.8400269,1685900
07/04/2015,544.8599854,544.8599854,550.1599731,543.5900269,544.9899902,1365900
08/04/2015,548.8400269,548.8400269,551.5,546,546,1419300
09/04/2015,548.0200195,548.0200195,549.3699951,541.9500122,549.210022,1618300
10/04/2015,548.539978,548.539978,549.8499756,544.9799805,549.5700073,1305200
13/04/2015,548.6400146,548.6400146,553.2700195,546.2999878,547.0499878,1466300
14/04/2015,539.7800293,539.7800293,546.5700073,535.7399902,546.5700073,2360300
15/04/2015,541.039978,541.039978,543.1900024,532.3699951,537.960022,2348100
16/04/2015,543.5200195,543.5200195,545.2299805,538.0999756,538.3499756,1586100
17/04/2015,532.7399902,532.7399902,539.7999878,529,537.3099976,2461700
20/04/2015,544.5300293,544.5300293,545.7999878,533.3499756,533.75,1925400
21/04/2015,542.9199829,542.9199829,547.7700195,542.210022,546.3099976,1456400
22/04/2015,549.1799927,549.1799927,551,541.3200073,543.0599976,1590300
23/04/2015,557.460022,557.460022,561.1699829,550.0800171,550.4099731,3909200
24/04/2015,573.6599731,573.6599731,584.7000122,568.3499756,580.0499878,4608400
27/04/2015,566.1199951,566.1199951,575.5200195,562.2999878,572.7700195,2403100
28/04/2015,564.3699951,564.3699951,567.8300171,560.960022,564.3200073,1858900
29/04/2015,561.3900146,561.3900146,565.8400269,559,560.5100098,1681100
30/04/2015,548.7700195,548.7700195,561.1099854,546.7199707,558.5599976,2362000
01/05/2015,551.1599731,551.1599731,551.2199707,543.8499756,550.5100098,1828600
04/05/2015,552.8400269,552.8400269,556.6900024,547.3900146,550.9899902,1763000
05/05/2015,543.039978,543.039978,552.6099854,542.3699951,550.1599731,1426400
06/05/2015,535.0800171,535.0800171,543.9299927,532.2399902,542.6400146,1951700
07/05/2015,542.039978,542.039978,545.2000122,533.4500122,535.9000244,1592200
08/05/2015,548.9500122,548.9500122,552.7999878,548.0300293,548.8699951,1411300
11/05/2015,545.7800293,545.7800293,553.3699951,545.5999756,548.4899902,1092900
12/05/2015,538.7299805,538.7299805,542.960022,535,542.8099976,1764100
13/05/2015,539.4899902,539.4899902,543.8400269,538.9799805,540.4699707,1211900
14/05/2015,549.2000122,549.2000122,549.6900024,542.5,543.9699707,1586800
15/05/2015,546.4899902,546.4899902,550.5999756,542.5,550.3900146,1672000
18/05/2015,546.6699829,546.6699829,548.3400269,542.25,543.8200073,1335300
19/05/2015,549.2800293,549.2800293,553.4000244,547.1199951,548,2356300
20/05/2015,552.5100098,552.5100098,556.0700073,545.0999756,550.9199829,1542000
21/05/2015,556.8099976,556.8099976,557.6099854,549.2999878,550.2000122,1708500
22/05/2015,554.5200195,554.5200195,558.2399902,553.6199951,554.460022,1213300
26/05/2015,547.1900024,547.1900024,553.3300171,542.9699707,552.5800171,1873700
27/05/2015,554.25,554.25,555.289978,546.5800171,548.6799927,1742200
28/05/2015,554.1799927,554.1799927,555.7600098,550.7999878,553.789978,1177200
29/05/2015,545.3200073,545.3200073,553.9400024,545.039978,553.2000122,2172300
01/06/2015,549.210022,549.210022,550.5700073,543.5800171,548.7299805,1660500
02/06/2015,553.9500122,553.9500122,558.789978,546.5499878,547.4299927,1592100
03/06/2015,555.289978,555.289978,557.9899902,552.1500244,555.0999756,1335500
04/06/2015,551.6900024,551.6900024,555.960022,549.1199951,552.1799927,1343300
